,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Bodegas,Número de piso de la unidad,Departamentos por piso
0,Metro El Golf,Departamento,Publicado hace 35 días,2021-07-01,"San Sebastian 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",400.000,,"0,27 UF/m²",,50 m²,50 m²,1,2,90000 CLP,,,,,
1,A 2 Cuadras Del Metro Alcantara-sector El Golf,Departamento,Publicado hace 35 días,2021-07-01,"Avenida El Golf 201, Barrio El Golf, Las Condes, RM (Metropolitana)",700.000,,"0,34 UF/m²","0,32 UF/m²",70 m²,70 m²,1,1,150000 CLP,1,,,,
2,Arriendo Depto  Calle Tranquila ,Departamento,Publicado hace 35 días,2021-07-01,"Alicante / Martin De Zamora 1 - 300, Vaticano, Las Condes, RM (Metropolitana)",710.000,,"0,21 UF/m²","0,27 UF/m²",113 m²,105 m²,3,2,,1,,,,
3,"Departamento En Excelente Estado, Sector Villa Maria",Departamento,Publicado hace 35 días,2021-07-01,"Presidente Errázuriz 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,18 UF/m²",,160 m²,160 m²,2,2,400000 CLP,1,38 años,,,
4,Acogedor Departamento Martin Alonzo Pinzon /colon,Departamento,Publicado hace 34 días,2021-07-01,"Martín Alonso Pinzón 6900 - 7200, Rotonda Atenas, Las Condes, RM (Metropolitana)",12,359.525,"0,43 UF/m²","0,37 UF/m²",28 m²,28 m²,1,1,,1,,,,
5,Impecable Departamento En Las Torcazas ,Departamento,Publicado hace 34 días,2021-07-01,"Las Torcazas 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",960.000,,"0,33 UF/m²",,98 m²,88 m²,3,12,,1,,,,
6,Arriendo / Depto / 380 M2 / 3d 4b 2e 1b / Las Condes,Departamento,Publicado hace 34 días,2021-07-01,"Avenida Los Tuliperos Sur 13200 - 13500, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",95,2.822.716,"0,25 UF/m²","0,24 UF/m²",380 m²,300 m²,4,4,1200000 CLP,2,,,,
7,"Amoblado - Bonito Dp. 2 Dorm, 1 Baño, Estacionamiento",Departamento,Publicado hace 34 días,2021-07-01,"Hamlet 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",550.000,,"0,31 UF/m²",,60 m²,60 m²,2,1,,1,,,,
8,Excelente Departamento.,Departamento,Publicado hace 34 días,2021-07-01,"Los Militares 5700 - 6000, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",850.000,,"0,48 UF/m²","0,38 UF/m²",60 m²,50 m²,2,2,130000 CLP,1,,,,
9,A 2 Cuadras Del Metro Alcantara-sector El Golf,Departamento,Publicado hace 34 días,2021-07-01,"Avenida El Golf 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",650.000,,"0,31 UF/m²","0,32 UF/m²",70 m²,70 m²,1,1,150000 CLP,1,,,,
10,Cerca Del Metro Escuela Militar Y Metro Alcantara ,Departamento,Publicado hace 34 días,2021-07-01,"El Dante 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",460.000,,"0,34 UF/m²","0,37 UF/m²",45 m²,35 m²,1,1,75000 CLP,1,,,,
11,Amoblado/metro El Golf/estilo Hotel,Departamento,Publicado hace 34 días,2021-07-01,"Avenida Presidente Riesco 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",22,653.682,"0,44 UF/m²","0,37 UF/m²",50 m²,50 m²,1,1,140000 CLP,,,,,
12,Metro Alcántara/ Remodelado/ 3 Estacionamientos + Bodega,Departamento,Publicado hace 34 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",80,2.377.024,"0,27 UF/m²","0,24 UF/m²",300 m²,300 m²,4,5,380000 CLP,3,,,,
13,Muy Luminoso,Departamento,Publicado hace 34 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",33,980.522,"0,55 UF/m²","0,37 UF/m²",60 m²,50 m²,1,1,125000 CLP,1,,,,
14,Departamento Con Estacionamiento Y Bodega,Departamento,Publicado hace 34 días,2021-07-01,"(adm) Las Condes 14181 - Departamento 300 - 600, Quinchamalí, Las Condes, RM (Metropolitana)",475.000,,"0,25 UF/m²","0,37 UF/m²",65 m²,61 m²,2,1,120000 CLP,1,,,,
15,Amplio Departamento,Departamento,Publicado hace 34 días,2021-07-01,"Avenida Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",650.000,,"0,19 UF/m²","0,27 UF/m²",118 m²,118 m²,3,2,,1,,,,
16,Metro Alcántara,Departamento,Publicado hace 34 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",80,2.377.024,"0,27 UF/m²","0,24 UF/m²",300 m²,300 m²,4,5,380000 CLP,3,,,,
17,Departamento De Lujo Ubicado En Exclusivo Barrio El Golf,Departamento,Publicado hace 33 días,2021-07-01,"Glamis 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",920.000,,"0,21 UF/m²","0,27 UF/m²",150 m²,140 m²,3,2,,2,,,,
18,Arrendamos Departamento En Segundo Piso Vista Oriente ,Departamento,Publicado hace 33 días,2021-07-01,"Apoquindo 7800 - 8100, Los Dominicos, Las Condes, RM (Metropolitana)",660.000,,"0,32 UF/m²","0,29 UF/m²",70 m²,70 m²,3,2,1200000 CLP,1,,,,
19,Locomocion Cercano Avenida Bilbao,Departamento,Publicado hace 33 días,2021-07-01,"Victor Rae 5500 - Departamento 8, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",1.300.000,,"0,27 UF/m²","0,27 UF/m²",160 m²,150 m²,4,2,,2,,,,
20,Hermoso Dpto. Barrio El Golf. Nuevo!,Departamento,Publicado hace 19 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,48 UF/m²","0,37 UF/m²",60 m²,50 m²,1,1,,1,,,,
21,Departamento Metro Alcantará 2d 2b 2 Terraza  Est Bod,Departamento,Publicado hace 33 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",585.000,,"0,3 UF/m²","0,33 UF/m²",65 m²,55 m²,2,2,,1,,,,
22,Departamento Alcantara Cercano Metro,Departamento,Publicado hace 32 días,2021-07-01,"Alcántara 900 - 1200, Vaticano, Las Condes, RM (Metropolitana)",550.000,,"0,21 UF/m²","0,33 UF/m²",88 m²,75 m²,2,2,110000 CLP,1,,,,
23,"Excelente, Amplio Y Moderno Depto.",Departamento,Publicado hace 32 días,2021-07-01,"Felipe Ii 4200 - 4500, Vaticano, Las Condes, RM (Metropolitana)",800.000,,"0,22 UF/m²","0,28 UF/m²",120 m²,109 m²,3,3,190000 CLP,1,,,,
24,"Metro Tobalaba, Barrio El Golf",Departamento,Publicado hace 32 días,2021-07-01,"Callao 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",550.000,,"0,32 UF/m²",,58 m²,58 m²,1,1,90000 CLP,,,,,
25,Colon / Tobalaba (metro)  ,Departamento,Publicado hace 32 días,2021-07-01,"Avenida Cristóbal Colón 3000 - 3300, Vaticano, Las Condes, RM (Metropolitana)",820.000,,"0,19 UF/m²","0,28 UF/m²",145 m²,130 m²,4,3,150000 CLP,1,,1,1,2
26,Apoquindo // Iv Centenario 1d 1b 1e 1b,Departamento,Publicado hace 6 días,2021-07-01,"Avenida Apoquindo 6300 - 6600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",450.000,,"0,36 UF/m²","0,37 UF/m²",42 m²,34 m²,1,1,80000 CLP,1,,,,
27,Apoquindo // Iv Centenario 1d 1b 1e 1b,Departamento,Publicado hace 6 días,2021-07-01,"Avenida Apoquindo 6300 - 6600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",450.000,,"0,36 UF/m²","0,37 UF/m²",42 m²,34 m²,1,1,80000 CLP,1,,,,
28,Apoquindo // Iv Centenario 1d 1b 1e 1b,Departamento,Publicado hace 6 días,2021-07-01,"Avenida Apoquindo 6300 - 6600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",450.000,,"0,36 UF/m²","0,37 UF/m²",42 m²,34 m²,1,1,80000 CLP,1,,,,
29,"Exclusivo Dpto. Remodelado, 2 Suites, Club De Golf ",Departamento,Publicado hace 31 días,2021-07-01,"Américo Vespucio Norte 600 - 900, Parque Arauco, Las Condes, RM (Metropolitana)",1.600.000,,"0,3 UF/m²",,178 m²,140 m²,2,4,,1,,,,
30,Amoblado - Metro Golf. Con Estacionamiento -,Departamento,Publicado hace 31 días,2021-07-01,"Augusto Leguía Sur 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",550.000,,"0,26 UF/m²","0,33 UF/m²",70 m²,70 m²,2,2,,1,,,,
31,Exclusivo Departamento - Cerro San Luis,Departamento,,2021-07-01,"Cristal De Abelli 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",4.100,2.983.816,"0,33 UF/m²","0,24 UF/m²",307 m²,277 m²,3,4,,2,,,,
32,Metro Alcántara / Todo Incluído,Departamento,Publicado hace 31 días,2021-07-01,"Metro Alcántara / Todo Incluído, Barrio El Golf, Las Condes, RM (Metropolitana)",690.000,,"0,41 UF/m²","0,37 UF/m²",57 m²,48 m²,1,1,,,,,,
33,La Gloria / Los Militares,Departamento,Publicado hace 31 días,2021-07-01,"La Gloria / Los Militares, Metro Escuela Militar, Las Condes, RM (Metropolitana)",650.000,,"0,27 UF/m²","0,33 UF/m²",81 m²,74 m²,2,2,,,,,,
34,Hermoso Depto 1 Dormitorio Las Condes,Departamento,Publicado hace 31 días,2021-07-01,"Avenida Las Condes 10200 - 10500, Estoril, Las Condes, RM (Metropolitana)",450.000,,"0,34 UF/m²","0,37 UF/m²",45 m²,45 m²,1,1,75000 CLP,1,,,,
35,Amoblado - Cercano Rotonda Atenas,Departamento,Publicado hace 31 días,2021-07-01,"Los Pozos 6600 - 6900, Rotonda Atenas, Las Condes, RM (Metropolitana)",750.000,,"0,26 UF/m²","0,29 UF/m²",96 m²,90 m²,3,2,90000 CLP,1,,,,
36,Arriendo 3 Dormitorios Mas Escritorio 182 Metros Las Condes,Departamento,Publicado hace 31 días,2021-07-01,"C, Los Militares 5400 - 5700, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.600.000,,"0,3 UF/m²","0,24 UF/m²",182 m²,162 m²,4,4,280000 CLP,2,,,,
37,"El Golf, Vistas, Conectividad Y Elegancia",Departamento,Publicado hace 31 días,2021-07-01,"Las Torcazas 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",110,3.268.408,"0,33 UF/m²","0,24 UF/m²",333 m²,233 m²,4,4,,3,,,,
38,Departamento Vista Despejada Parque Araucano,Departamento,Publicado hace 6 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",35,1.039.948,"0,39 UF/m²","0,33 UF/m²",90 m²,78 m²,2,2,170000 CLP,1,,,,
39,Vecinal Esquina Napoleón,Departamento,Publicado hace 31 días,2021-07-01,"Vecinal 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",555.000,,"0,22 UF/m²","0,33 UF/m²",84 m²,74 m²,2,2,,1,,,,
40,Plaza Loreto-club De Golf,Departamento,,2021-07-01,"Plaza Loreto-club De Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",1.000.000,,"0,22 UF/m²","0,29 UF/m²",155 m²,140 m²,2,3,,2,,,,
41,Edificio Fundadores / Excelente Estado / El Golf,Departamento,,2021-07-01,"Edificio Fundadores / Excelente Estado / El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",55,1.634.204,"0,39 UF/m²","0,28 UF/m²",140 m²,125 m²,3,3,,2,,,,
42,Maravilloso Departamento Cercano A Colegio Padre Hurtado Y J,Departamento,Publicado hace 30 días,2021-07-01,"Francisco Bulnes Correa 3600 - 3900, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",2.800.000,,"0,27 UF/m²","0,24 UF/m²",344 m²,294 m²,5,5,700000 CLP,3,,,,
43,Departamento Amoblado Con Increíble Terraza- 100%,Departamento,Publicado hace 30 días,2021-07-01,"Las Torcazas 50, Barrio El Golf, Las Condes, RM (Metropolitana)",1.400.000,,"0,33 UF/m²","0,29 UF/m²",144 m²,85 m²,3,2,115000 CLP,1,,,,
44,Departamento Alsacia 57 Tipo Estudio Con Estacionamiento ,Departamento,Publicado hace 30 días,2021-07-01,"Alsacia 57, Barrio El Golf, Las Condes, RM (Metropolitana)",400.000,,"0,45 UF/m²","0,37 UF/m²",30 m²,30 m²,1,1,,1,,,,
45,Tour Virtual / Metro E. Militar,Departamento,Publicado hace 30 días,2021-07-01,"Tour Virtual / Metro E. Militar, Metro Los Presidentes - Lo Hermida, Peñalolén, RM (Metropolitana)",780.000,,"0,2 UF/m²",,134 m²,127 m²,3,2,,,,,,
46,Departamento Amoblado En Arriendo,Departamento,Publicado hace 30 días,2021-07-01,"Isidora Goyenechea 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",85,2.525.588,"0,79 UF/m²","0,32 UF/m²",108 m²,67 m²,1,1,,1,,,,
47,Luminoso Departamento ,Departamento,Publicado hace 30 días,2021-07-01,"Avenida Presidente Kennedy Lateral 5700 - 6000, Estadio Manquehue, Vitacura, RM (Metropolitana)",1.200.000,,"0,48 UF/m²","0,32 UF/m²",84 m²,72 m²,2,2,,1,,,,
48,Excelente Ubicacion Lado Metro,Departamento,Publicado hace 30 días,2021-07-01,"Reyes Lavalle 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",720.000,,"0,27 UF/m²","0,29 UF/m²",90 m²,90 m²,3,2,130000 CLP,1,,,,
49, Sector Colegio Sek- Nueva Las Condes,Departamento,Publicado hace 30 días,2021-07-01,"Escandinavia 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.200.000,,"0,25 UF/m²","0,28 UF/m²",160 m²,130 m²,3,3,,2,,,,
50,"Lindo Departamento 1 Dormitorio, Amoblado, Barrio El Golf ",Departamento,Publicado hace 30 días,2021-07-01,"Hamlet 3900 - 4200, Barrio El Golf, Las Condes, RM (Metropolitana)",540.000,,"0,29 UF/m²",,62 m²,50 m²,1,1,90000 CLP,1,,,,
51,Departamento Nuevo Edif Vanguardista Luminoso 1d/1b 1e/1b,Departamento,Publicado hace 29 días,2021-07-01,"Camino San Francisco De Asis 1 - 300, San Damián, Las Condes, RM (Metropolitana)",500.000,,"0,39 UF/m²","0,37 UF/m²",43 m²,36 m²,1,1,80000 CLP,1,1 años,,,
52,Amoblado - Inmediato Metro,Departamento,Publicado hace 29 días,2021-07-01,"Reyes Lavalle 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",720.000,,"0,2 UF/m²","0,27 UF/m²",120 m²,120 m²,3,2,,1,,,,
53,La Gloria 30 / Con Estacionamiento / Metro Escuela Militar,Departamento,Publicado hace 17 días,2021-07-01,"La Gloria 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",330.000,,"0,4 UF/m²","0,37 UF/m²",28 m²,28 m²,1,1,,1,,,,
54,Excelente Departamento ,Departamento,Publicado hace 29 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.250.000,,"0,43 UF/m²","0,33 UF/m²",97 m²,78 m²,2,2,120000 CLP,1,,,,
55,La Gloria / Apoquindo,Departamento,Publicado hace 29 días,2021-07-01,"La Gloria 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",430.000,,"0,37 UF/m²","0,37 UF/m²",39 m²,35 m²,1,1,70000 CLP,1,,,,
56,Departamento Amoblado Metro El Golf ,Departamento,Publicado hace 29 días,2021-07-01,"Enrique Foster 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",720.000,,"0,2 UF/m²","0,27 UF/m²",120 m²,106 m²,3,2,270000 CLP,1,,,,
57,Kennedy -parque Arauco Sin Muebles - Hermosa Vista Norte,Departamento,Publicado hace 29 días,2021-07-01,"Avenida Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",800.000,,"0,28 UF/m²","0,33 UF/m²",97 m²,82 m²,2,2,,1,,,,
58,Departamento En Arriendo Cercano A Metro Escuela Militar.-,Departamento,Publicado hace 29 días,2021-07-01,"Del Inca 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",680.000,,"0,27 UF/m²","0,33 UF/m²",85 m²,85 m²,2,2,,2,,,,
59,"Excelente Departamento Cerro Colorado , Las Condes",Departamento,Publicado hace 29 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",24,727.964,"0,32 UF/m²","0,33 UF/m²",75.42 m²,57.4 m²,2,2,115000 CLP,,,,,
60,Metro Alcantara,Departamento,Publicado hace 29 días,2021-07-01,"Burgos 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,17 UF/m²","0,23 UF/m²",232 m²,220 m²,3,2,,2,,,,
61,Edificio Fundadores / Excelente Estado / El Golf,Departamento,,2021-07-01,"Edificio Fundadores / Excelente Estado / El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",55,1.634.204,"0,39 UF/m²","0,28 UF/m²",140 m²,125 m²,3,3,,2,,,,
62,Departamento En Arriendo En Metro Manquehue.,Departamento,Publicado hace 29 días,2021-07-01,"Balmoral 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.250.000,,"0,2 UF/m²","0,26 UF/m²",214 m²,186 m²,4,3,200000 CLP,2,,,,
63,3 Dormitorios En Las Condes,Departamento,Publicado hace 28 días,2021-07-01,"Reyes Lavalle 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",720.000,,"0,26 UF/m²","0,29 UF/m²",93 m²,90 m²,3,2,225000 CLP,1,,,,
64,"Depto Nuevos Con Patio, Quincho",Departamento,Publicado hace 28 días,2021-07-01,"Depto Nuevos Con Patio, Quincho, San Damián, Las Condes, RM (Metropolitana)",130,3.862.664,6 UF/m²,,20 m²,220 m²,3,3,,,,,,
65,"Disponible Entrega Inmediata - 1er Piso, Un Clásico Del '1",Departamento,Publicado hace 28 días,2021-07-01,"Avenida Francisco Bilbao 4200 - 4500, Vaticano, Las Condes, RM (Metropolitana)",550.000,,"0,24 UF/m²","0,29 UF/m²",78 m²,78 m²,3,2,70000 CLP,1,54 años,,,
66,San Pascual 141 Metro Escuela Militar 1d 1b Est Bod,Departamento,Publicado hace 28 días,2021-07-01,"San Pascual 141, Metro Escuela Militar, Las Condes, RM (Metropolitana)",400.000,,"0,35 UF/m²","0,37 UF/m²",38 m²,38 m²,1,1,,1,,,,
67,Cercano Al Metro Escuela Militar,Departamento,Publicado hace 28 días,2021-07-01,"Málaga 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",550.000,,"0,47 UF/m²","0,37 UF/m²",39 m²,39 m²,1,1,80000 CLP,1,,,,
68,La Gloria 34,Departamento,Publicado hace 28 días,2021-07-01,"La Gloria 34, Metro Escuela Militar, Las Condes, RM (Metropolitana)",620.000,,"0,33 UF/m²","0,33 UF/m²",64 m²,64 m²,2,2,,1,,,,
69,Barrio El Golf - 3 Dor. 2 Est. Metro Alcántara Sin Ruido.,Departamento,Publicado hace 28 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,34 UF/m²","0,3 UF/m²",120 m²,100 m²,3,3,,2,,,,
70,Edificio Moderno Del Barrio El Golf - Metro Alcantara ,Departamento,Publicado hace 28 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.000.000,,"0,35 UF/m²","0,33 UF/m²",95 m²,80 m²,2,2,,1,,,,
71,Extraordinario Departamento Amoblado - Parque Arauco ,Departamento,Publicado hace 28 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",800.000,,"0,27 UF/m²","0,33 UF/m²",100 m²,80 m²,2,2,,1,,,,
72,Callao / Gertrudis Echenique / Metro Alcantara / Las Condes,Departamento,Publicado hace 28 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.100.000,,"0,3 UF/m²","0,28 UF/m²",125 m²,110 m²,3,3,230000 CLP,1,,,,
73,Metro Escuela Militar,Departamento,Publicado hace 28 días,2021-07-01,"Evaristo Lillo 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",450.000,,"0,24 UF/m²","0,33 UF/m²",64 m²,64 m²,2,2,,1,,,,
74,Arriendo Departamento Amoblado Sector Bosque Norte,Departamento,Publicado hace 28 días,2021-07-01,"San Sebastian 2711, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",550.000,,"0,34 UF/m²","0,37 UF/m²",55 m²,47 m²,1,1,,,,,,
75,Estupenda Ubicación Los Militares  Rosario Norte / 3d 4b,Departamento,Publicado hace 28 días,2021-07-01,"Los Militares 5700 - 6000, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.390.000,,"0,25 UF/m²","0,24 UF/m²",184 m²,166 m²,3,4,250000 CLP,2,,,,
76,Ubicación Privilegiada Y Amplios Espacios,Departamento,Publicado hace 27 días,2021-07-01,"Avenida Las Condes 12600 - 12900, Mall Sport, Las Condes, RM (Metropolitana)",1.100.000,,"0,24 UF/m²","0,28 UF/m²",152 m²,135 m²,4,3,,2,,,,
77,Excelente Departamento Remodelado Y Vista Despejada,Departamento,Publicado hace 27 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.200.000,,"0,28 UF/m²","0,28 UF/m²",146 m²,140 m²,4,3,180000 CLP,2,12 años,,,
78,Departamento Equipado  Luminoso Amplio Seguro Tranquilo,Departamento,Publicado hace 27 días,2021-07-01,"Estocolmo 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.200.000,,"0,31 UF/m²","0,27 UF/m²",130 m²,120 m²,3,2,,1,,,,
79,Los Militares**estupenda Vista,Departamento,Publicado hace 27 días,2021-07-01,"Los Militares**estupenda Vista, Metro Escuela Militar, Las Condes, RM (Metropolitana)",900.000,,"0,28 UF/m²","0,29 UF/m²",110 m²,100 m²,3,2,,,,,,
80,Pontevedra/ Semi-nuevo/colon,Departamento,Publicado hace 27 días,2021-07-01,"Pontevedra 900 - 1200, Rotonda Atenas, Las Condes, RM (Metropolitana)",34,1.010.235,"0,23 UF/m²","0,28 UF/m²",145 m²,120 m²,3,3,,1,,,,
