,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Bodegas,Número de piso de la unidad,Departamentos por piso
81,Excelente Departamento Duplex,Departamento,Publicado hace 27 días,2021-07-01,"Camino Piedra Roja 900 - 1200, Los Dominicos, Las Condes, RM (Metropolitana)",85,2.525.588,"0,34 UF/m²","0,26 UF/m²",249 m²,208 m²,3,3,500000 CLP,3,,,,
82,Parque Arauco / Cerro Colorado (3 Dorm. + Serv.) Piso Nuevo ,Departamento,Publicado hace 27 días,2021-07-01,"Cerro Colorado 4500 - 4800, Parque Arauco, Las Condes, RM (Metropolitana)",1.345.000,,"0,29 UF/m²","0,28 UF/m²",157 m²,145 m²,3,3,170000 CLP,2,,,,
83,Departamento Amoblado En Metro Manquehue.,Departamento,Publicado hace 27 días,2021-07-01,"Balmoral 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",3.000,2.183.280,"0,34 UF/m²","0,26 UF/m²",214 m²,186 m²,4,3,200000 CLP,2,,,,
84,Cerro Colorado / Av Presidente Kennedy / Las Condes,Departamento,Publicado hace 27 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",850.000,,"0,34 UF/m²","0,33 UF/m²",85 m²,75 m²,2,2,,1,,,,
85,"Cerro San Luis, Remodelado.",Departamento,Publicado hace 27 días,2021-07-01,"Cerro San Luis, Remodelado., Barrio El Golf, Las Condes, RM (Metropolitana)",38,1.129.086,"0,48 UF/m²","0,37 UF/m²",80 m²,70 m²,2,1,,,,,,
86,"Cerro San Luis, Remodelado.",Departamento,Publicado hace 27 días,2021-07-01,"Cerro San Luis, Remodelado., Barrio El Golf, Las Condes, RM (Metropolitana)",35,1.039.948,"0,49 UF/m²","0,37 UF/m²",72 m²,69 m²,2,1,,,,,,
87,"Cerro San Luis, Tour Virtual",Departamento,Publicado hace 27 días,2021-07-01,"Cerro San Luis, Tour Virtual, Barrio El Golf, Las Condes, RM (Metropolitana)",38,1.129.086,"0,48 UF/m²","0,37 UF/m²",80 m²,70 m²,2,1,,,,,,
88,"Remodelado, Cerro San Luis",Departamento,Publicado hace 27 días,2021-07-01,"Remodelado, Cerro San Luis, Barrio El Golf, Las Condes, RM (Metropolitana)",35,1.039.948,"0,49 UF/m²","0,37 UF/m²",72 m²,69 m²,2,1,,,,,,
89,"El Golf, Amoblado",Departamento,Publicado hace 27 días,2021-07-01,"El Golf, Amoblado, Barrio El Golf, Las Condes, RM (Metropolitana)",720.000,,"0,21 UF/m²","0,27 UF/m²",116 m²,110 m²,3,2,,,,,,
90,--- Rosario Sur -- Alonso De Cordova - Oportunidad,Departamento,Publicado hace 27 días,2021-07-01,"Rosario Sur 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.000.000,,"0,21 UF/m²","0,29 UF/m²",160 m²,140 m²,4,4,,1,,,,
91,Increible  Departamento De Concepto Abierto,Departamento,Publicado hace 27 días,2021-07-01,"California 2100 - 2400, Inés de Suárez, Providencia, RM (Metropolitana)",1.000.000,,"0,3 UF/m²","0,24 UF/m²",112.5 m²,106 m²,3,2,,1,,,,
92,Exclusivo Duplex-penthouse / Club De Golf,Departamento,,2021-07-01,"Exclusivo Duplex-penthouse / Club De Golf, Parque Arauco, Las Condes, RM (Metropolitana)",4.500.000,,"0,25 UF/m²",,600 m²,400 m²,2,3,,2,,,,
93,Excelente Departamento,Departamento,Publicado hace 26 días,2021-07-01,"El Golf 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.800.000,,"0,3 UF/m²","0,23 UF/m²",200 m²,160 m²,3,2,260000 CLP,2,,,,
94,Arriendo 3 Dormitorios Amoblado Parque Araucano Las Condes,Departamento,Publicado hace 26 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.400.000,,"0,3 UF/m²","0,28 UF/m²",158 m²,146 m²,3,3,200000 CLP,2,15 años,,,
95,Departamento De Lujo A Pasos De Parque Arauco - Amoblado ,Departamento,Publicado hace 26 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.550.000,,"0,44 UF/m²","0,35 UF/m²",118 m²,95 m²,2,2,,1,,,,
96,Excelente Amoblado - Escuela Militar / Omnium,Departamento,Publicado hace 26 días,2021-07-01,"La Castellana Norte 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",790.000,,"0,32 UF/m²","0,33 UF/m²",82 m²,72 m²,2,2,118000 CLP,1,,,,
97,"Gran Departamento Familiar, Impecable Y Marcada",Departamento,Publicado hace 26 días,2021-07-01,"Hamlet 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.750.000,,"0,22 UF/m²","0,24 UF/m²",270 m²,220 m²,5,4,400000 CLP,3,,,,
98,Luminoso Departamento,Departamento,Publicado hace 26 días,2021-07-01,"Las Condes 14100 - 14400, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",17,531.562,"0,29 UF/m²","0,37 UF/m²",62 m²,53 m²,2,1,90000 CLP,1,,,,
99,Estoril / Clínica Las Condes / Lo Fontecilla,Departamento,Publicado hace 26 días,2021-07-01,"Avenida Las Condes 10200 - 10500, Estoril, Las Condes, RM (Metropolitana)",28,831.958,"0,31 UF/m²","0,33 UF/m²",89 m²,75 m²,2,2,120000 CLP,2,,,,
100,Departamento Equipado En El Barrio El Golf,Departamento,Publicado hace 26 días,2021-07-01,"Napoleón 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",20,601.684,"0,37 UF/m²",,55 m²,55 m²,1,1,110000 CLP,1,,,,
101,A Dos Cuadras Metro Manquehue,Departamento,Publicado hace 26 días,2021-07-01,"Escandinavia 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",600.000,,"0,3 UF/m²","0,33 UF/m²",68 m²,62 m²,2,2,,1,,,,
102,Hermoso Departamento Totalmente Amoblado ,Departamento,Publicado hace 26 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",650.000,,"0,38 UF/m²","0,37 UF/m²",57 m²,50 m²,1,1,90000 CLP,1,,,,
103,Hermoso  Estudio Con Vista A La Cordillera,Departamento,Publicado hace 26 días,2021-07-01,"Manquehue Norte 966, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",580.000,,"0,39 UF/m²","0,37 UF/m²",50 m²,43 m²,1,1,,1,,,,
104,Hermoso Departamento A  Con Vista A La Cordillera Nororiente,Departamento,Publicado hace 26 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",1.000.000,,"0,39 UF/m²","0,33 UF/m²",87 m²,69 m²,2,2,150000 CLP,2,,,,
105,"Hermoso Departamento Totalmente Amoblado , Torres De Bersa",Departamento,Publicado hace 26 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",29,861.671,"0,39 UF/m²","0,33 UF/m²",74 m²,65 m²,2,2,,1,,,,
106,Hermoso Departamento A Estrenar Y Amoblado En Torre Nk ,Departamento,Publicado hace 26 días,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",700.000,,"0,45 UF/m²","0,37 UF/m²",52 m²,45 m²,1,1,,1,,,,
107,Incluye Bodega / Amoblado / Metro El Golf ,Departamento,Publicado hace 25 días,2021-07-01,"Augusto Leguía Sur 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",420.000,,"0,35 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,,,,,,
108,Departamento Con Opción De Amoblado ,Departamento,Publicado hace 2 días,2021-07-01,"Magdalena 222 - Departamento 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",920.000,,"0,18 UF/m²",,170 m²,140 m²,2,2,300000 CLP,1,,,,
109,Departamento En Barrio El Golf ,Departamento,Publicado hace 2 días,2021-07-01,"Luz 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",970.000,,"0,18 UF/m²","0,23 UF/m²",177 m²,170 m²,3,2,240000 CLP,2,,,,
110,"Excelente Ubicacion Y Conectividad, Sector Residencial.",Departamento,Publicado hace 25 días,2021-07-01,"Noruega 6300 - 6600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.000.000,,"0,24 UF/m²","0,28 UF/m²",140 m²,120 m²,3,3,,2,,,,
111,"Amoblado, Metro Escuela Militar, Hamlet, El Dante, Riesco",Departamento,Publicado hace 25 días,2021-07-01,"Hamlet 3900 - 4200, Metro Escuela Militar, Las Condes, RM (Metropolitana)",530.000,,"0,4 UF/m²","0,37 UF/m²",45 m²,45 m²,1,1,,1,,,,
112,"Departamento Excelente Ubicación, A Pasos Del Metro",Departamento,Publicado hace 25 días,2021-07-01,"Félix De Amesti 94, Metro Escuela Militar, Las Condes, RM (Metropolitana)",360.000,,"0,29 UF/m²","0,37 UF/m²",42 m²,42 m²,1,1,100000 CLP,1,,,,
113,Moderno Departamento Entre La Dehesa Y Las Condes,Departamento,Publicado hace 24 días,2021-07-01,"Avenida Las Condes 12900 - 13200, Puente Nuevo, Lo Barnechea, RM (Metropolitana)",23,683.394,"0,34 UF/m²","0,31 UF/m²",68 m²,65 m²,2,2,230000 CLP,1,,,,
114,Av. Cristobal Colon ,Departamento,Publicado hace 24 días,2021-07-01,"Avenida Cristóbal Colón 3000 - 3300, Vaticano, Las Condes, RM (Metropolitana)",715.000,,"0,21 UF/m²","0,28 UF/m²",115 m²,110 m²,3,3,,1,,,,
115,Excelente Departamento A Pasos De Metro Escuela Militar,Departamento,Publicado hace 24 días,2021-07-01,"Neveria 4524 - Departamento 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",390.000,,"0,33 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,,1,,,,
116,Amplio Amoblado / Impecable / Sector Nueva Las Condes,Departamento,Publicado hace 24 días,2021-07-01,"Estocolmo 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.200.000,,"0,31 UF/m²","0,27 UF/m²",130 m²,120 m²,3,2,,1,,,,
117,Fabuloso Depratmento Full Amoblado Y Equipado,Departamento,Publicado hace 24 días,2021-07-01,"Avenida Presidente Riesco O, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,34 UF/m²","0,33 UF/m²",85 m²,70 m²,2,2,,1,,,,
118,Departamento  En Condominio En Las Condes  ,Departamento,Publicado hace 24 días,2021-07-01,"Avenida Cristóbal Colón 6900 - 7200, Rotonda Atenas, Las Condes, RM (Metropolitana)",600.000,,"0,22 UF/m²","0,29 UF/m²",90 m²,83 m²,3,2,100000 CLP,1,,,,
119,Cerca Metro Alcántara,Departamento,Publicado hace 24 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.600.000,,"0,3 UF/m²","0,24 UF/m²",180 m²,160 m²,4,4,,2,,,,
120,Cerca Metro El Golf,Departamento,Publicado hace 24 días,2021-07-01,"Callao 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",800.000,,"0,35 UF/m²","0,33 UF/m²",76 m²,70 m²,2,2,120000 CLP,1,,,,
121,Cerca Metro Alcántara,Departamento,Publicado hace 24 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",2.100.000,,"0,39 UF/m²","0,26 UF/m²",180 m²,160 m²,4,3,200000 CLP,1,,,,
122,Cerca Metro Alcántara,Departamento,Publicado hace 24 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",750.000,,"0,34 UF/m²","0,32 UF/m²",75 m²,75 m²,1,1,120000 CLP,1,,,,
123,Cerca Metro Alcántara,Departamento,Publicado hace 24 días,2021-07-01,"Hamlet 3900 - 4200, Barrio El Golf, Las Condes, RM (Metropolitana)",600.000,,"0,35 UF/m²","0,37 UF/m²",58 m²,50 m²,1,1,90000 CLP,1,,,,
124,Cerca Metro Alcántara,Departamento,Publicado hace 24 días,2021-07-01,"Hamlet 3900 - 4200, Barrio El Golf, Las Condes, RM (Metropolitana)",600.000,,"0,35 UF/m²","0,37 UF/m²",57 m²,50 m²,1,1,85000 CLP,1,,,,
125,Cerca Metro Alcántara,Departamento,Publicado hace 24 días,2021-07-01,"La Gioconda 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",2.500.000,,"0,48 UF/m²","0,24 UF/m²",175 m²,160 m²,3,4,200000 CLP,1,,,,
126,Alsacia / Barrio El Golf / Las Torcazas / Las Condes,Departamento,Publicado hace 24 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",16,475.405,"0,38 UF/m²","0,37 UF/m²",42 m²,42 m²,1,1,78000 CLP,1,,,,
127,"Depto A Pasos Escuela Militar, Plazas Y Servicios",Departamento,Publicado hace 24 días,2021-07-01,"Félix De Amesti 300 - 600, Metro Escuela Militar, Las Condes, RM (Metropolitana)",700.000,,"0,3 UF/m²","0,33 UF/m²",79 m²,72 m²,2,2,,1,,,,
128,Metro Alcantara,Departamento,Publicado hace 20 días,2021-07-01,"San Francisco De Asís 1 - 300, San Damián, Las Condes, RM (Metropolitana)",580.000,,"0,51 UF/m²","0,37 UF/m²",38 m²,38 m²,1,1,,1,,,,
129,Cerca Metro Alcántara,Departamento,Publicado hace 24 días,2021-07-01,"Las Torcazas 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,35 UF/m²","0,28 UF/m²",115 m²,115 m²,3,3,200000 CLP,1,,,,
130,Alsacia/apoquindo,Departamento,Publicado hace 24 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",950.000,,"0,18 UF/m²",,180 m²,180 m²,2,2,,2,,,,
131,Luz - Isidora Goyenechea,Departamento,Publicado hace 24 días,2021-07-01,"Luz 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",580.000,,"0,33 UF/m²","0,41 UF/m²",60 m²,55 m²,2,2,,1,,,,
132,Cerca Metro Alcántara,Departamento,Publicado hace 24 días,2021-07-01,"San Francisco De Asís 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",600.000,,"0,35 UF/m²","0,37 UF/m²",58 m²,50 m²,1,1,100000 CLP,1,,,,
133,Amplio Departamento Con Vista A Jardines Estadio Español,Departamento,Publicado hace 24 días,2021-07-01,"Neveria 4800 - 5100, Metro Escuela Militar, Las Condes, RM (Metropolitana)",33,980.522,"0,21 UF/m²","0,28 UF/m²",160 m²,140 m²,3,3,,2,,,,
134,Avenida Presidente Riesco / Augusto Leguia / Barrio El Golf,Departamento,Publicado hace 24 días,2021-07-01,"Avenida Presidente Riesco 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,37 UF/m²","0,33 UF/m²",78 m²,70 m²,2,2,,2,,,,
135, Depto  Metro El Golf,Departamento,Publicado hace 24 días,2021-07-01,"Napoleón 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",500.000,,"0,37 UF/m²","0,37 UF/m²",45 m²,45 m²,1,1,100000 CLP,1,,,,
136,"Residencial, A Pasos Del Metro El Golf",Departamento,Publicado hace 24 días,2021-07-01,"Callao 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",1.250.000,,"0,26 UF/m²","0,26 UF/m²",165 m²,140 m²,4,3,,1,,,,
137,Arriendo Amoblado Full  Sector El Golf Residencial,Departamento,Publicado hace 24 días,2021-07-01,"Callao 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,31 UF/m²","0,26 UF/m²",165 m²,140 m²,4,3,,1,,,,
138,Vista Parque Araucano,Departamento,Publicado hace 24 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",53,1.589.635,"0,47 UF/m²","0,35 UF/m²",113 m²,90 m²,2,2,,1,,,,
139,Se Arrienda Dpto. A Pasos Colegio P. Hurtado Y J. Andes,Departamento,Publicado hace 24 días,2021-07-01,"Carlos Peña Otaegui 11700 - 12000, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",1.200.000,,"0,29 UF/m²","0,28 UF/m²",141 m²,127 m²,3,3,,2,,,,
140,Vista Parque Araucano,Departamento,Publicado hace 24 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",43,1.280.622,"0,44 UF/m²","0,33 UF/m²",97 m²,78 m²,2,2,120000 CLP,1,,,,
141,Av.kennedy /. Av. Manquehue,Departamento,Publicado hace 24 días,2021-07-01,"Avenida Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",799.000,,"0,31 UF/m²","0,33 UF/m²",87 m²,78 m²,2,2,120000 CLP,1,,,,
142,Amoblado/ A Un Paso De Clínica Alemana/ Parque Arauco,Departamento,Publicado hace 24 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",650.000,,"0,45 UF/m²","0,37 UF/m²",49 m²,41 m²,1,1,,1,,,,
143,Amoblado/ A Un Paso De Clínica Alemana/ Parque Arauco,Departamento,Publicado hace 24 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",650.000,,"0,45 UF/m²","0,37 UF/m²",49 m²,41 m²,1,1,,1,,,,
144,Amoblado/ A Un Paso De Clínica Alemana/ Parque Arauco,Departamento,Publicado hace 24 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",650.000,,"0,45 UF/m²","0,37 UF/m²",49 m²,41 m²,1,1,,1,,,,
145,"Cercano A Metro Escuela Militar, Cocina Tradicional  Full",Departamento,Publicado hace 24 días,2021-07-01,"Orinoco 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",690.000,,"0,27 UF/m²","0,33 UF/m²",86 m²,80 m²,2,2,,1,,,,
146,Hermoso Departamento Amoblado Cerca Parque Araucano,Departamento,Publicado hace 23 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",780.000,,"0,48 UF/m²",,55 m²,55 m²,1,1,70000 CLP,1,,,,
147,Lindo Departamento Tipo Estudio Amoblado ,Departamento,Publicado hace 23 días,2021-07-01,"Puerta Del Sol 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",650.000,,"0,55 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,,,,,,
148,Departamento Maravilloso Loft ,Departamento,Publicado hace 23 días,2021-07-01,"Avenida Presidente Riesco 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",980.000,,"0,46 UF/m²","0,43 UF/m²",72 m²,72 m²,1,2,230000 CLP,1,,,,
149,Hermoso Departamento A Pasos Metro Manquehue ,Departamento,Publicado hace 23 días,2021-07-01,"Avenida Apoquindo 6300 - 6600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",15,460.548,"0,52 UF/m²","0,37 UF/m²",30 m²,28 m²,1,1,,1,,,,
150,Hermoso Departamento Cerca Del Metro Alcantara,Departamento,Publicado hace 23 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,34 UF/m²","0,3 UF/m²",120 m²,100 m²,3,3,,2,,,,
151,Departamento Cercano A Metro Escuela Militar,Departamento,Publicado hace 23 días,2021-07-01,"San Pascual 144, Metro Escuela Militar, Las Condes, RM (Metropolitana)",350.000,,"0,29 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,,1,,,,
152,Se Arrienda Departamento Cercano A Metro Cristobal Colon,Departamento,Publicado hace 23 días,2021-07-01,"Avenida Cristóbal Colón 3600 - 3900, Las Lilas, Providencia, RM (Metropolitana)",550.000,,"0,26 UF/m²","0,28 UF/m²",70 m²,66 m²,2,2,90000 CLP,1,,,,
153,Piacenza Colon,Departamento,Publicado hace 23 días,2021-07-01,"Piacenza 900 - 1200, Rotonda Atenas, Las Condes, RM (Metropolitana)",980.000,,"0,24 UF/m²","0,27 UF/m²",138 m²,120 m²,3,2,210000 CLP,2,,,,
154,Escandinavia 177 Depto 1d+:1b (est+bod),Departamento,Publicado hace 23 días,2021-07-01,"Escandinavia 177 - Departamento 300 - 600, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",430.000,,"0,34 UF/m²","0,37 UF/m²",43 m²,43 m²,1,1,,1,,,,
155,Arriendo El Golf - Tour Virtual!!,Departamento,Publicado hace 23 días,2021-07-01,"Arriendo El Golf - Tour Virtual!!, Barrio El Golf, Las Condes, RM (Metropolitana)",800.000,,"0,24 UF/m²","0,3 UF/m²",111 m²,100 m²,3,3,,,,,,
156,Acogedor / Un Dormitorio-el Golf,Departamento,Publicado hace 23 días,2021-07-01,"Acogedor / Un Dormitorio-el Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",550.000,,"0,39 UF/m²","0,37 UF/m²",47 m²,47 m²,1,1,,,,,,
157,Estocolmo Colegio Sek Amoblado,Departamento,Publicado hace 23 días,2021-07-01,"Estocolmo 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.200.000,,"0,3 UF/m²","0,28 UF/m²",136 m²,130 m²,3,3,,1,,,,
158,Oportunidad 1 Dorm Vista Despejada - Sin Comisión ,Departamento,Publicado hace 23 días,2021-07-01,"Avenida Las Condes 12300 - 12600, Mall Sport, Las Condes, RM (Metropolitana)",20,594.256,"0,36 UF/m²","0,37 UF/m²",54.93 m²,43.83 m²,1,1,,1,,,,
159,Hermanos Cabot - Gerónimo De Alderete,Departamento,Publicado hace 23 días,2021-07-01,"Hermanos Cabot 4500 - 4800, Parque Arauco, Las Condes, RM (Metropolitana)",1.350.000,,"0,28 UF/m²","0,24 UF/m²",160 m²,160 m²,3,3,,2,,,,
160,Excelente Departamento Duplex - El Golf,Departamento,Publicado hace 21 días,2021-07-01,"Presidente Riesco 4200 - 4500, Barrio El Golf, Las Condes, RM (Metropolitana)",120,3.565.536,"0,35 UF/m²","0,23 UF/m²",340 m²,280 m²,3,2,670000 CLP,3,,,,
161,"Vespucio Sur, ",Departamento,Publicado hace 22 días,2021-07-01,"Avenida Américo Vespucio Sur 1835, Vaticano, Las Condes, RM (Metropolitana)",450.000,,"0,26 UF/m²",,59 m²,57 m²,2,1,,1,,,,
162,Estupendo Departamento,Departamento,Publicado hace 22 días,2021-07-01,"Hamlet 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",430.000,,"0,32 UF/m²","0,37 UF/m²",45 m²,42 m²,1,1,,1,,,,
